lastName,firstName,country,univ
Ahmad,Muhammad Ovais,Sweden,Karlstad University
Barata,João,Portugal,University of Coimbra
Buchalcevova,Alena,Czech Republic,Prague University of Economics and Business
Dutta,Arpita,Singapore,National University of Singapore
Gregory,Peggy,UK,University of Central Lancashire
Guerra,Eduardo,Italy,Free University of Bozen-Bolzano
Hanslo,Ridewaan,South Africa,Council for Scientific and Industrial Research
Heng,Samedi,Belgium,Smals and Université catholique de Louvain
Jarzębowicz,Aleksander,Poland,Gdańsk University of Technology
Kapitsaki,Georgia,Cyprus,University of Cyprus
Kopczyńska,Sylwia,Poland,Poznań University of Technology
Kropp,Martin,Switzerland,University of Applied Sciences and Arts Northwestern Switzerland
